UBICACIÓN / LOCATION,IMAGEN PLANO,DESARROLLO / DEVELOPMENT,UNIDAD / UNIT,RECAMARAS / BEDROOMS,M2,SQFT,PRECIO DE LISTA / PRICE LIST,DESCUENTO / DISCOUNT %,DESCUENTO / DISCOUNT $,PRECIO FINAL / FINAL PRICE,COTIZAR,OPCION 1,ENGANCHE,MONTO,SALDO,PRECIO ,DESCUENTO TOTAL,OPCION 2,ENGANCHE1,MONTO1,SALDO1,PRECIO1,DESCUENTO TOTAL1,OPCION 3,ENGANCHE2,MONTO2,SALDO2,PRECIO2,DESCUENTO TOTAL2,OPCION 4,ENGANCHE3,MONTO3,6 MESES 10%,12 MESES 10%,SALDO3,PRECIO3,DESCUENTO TOTAL3,OPCION 5,ENGANCHE4,MONTO4,6 MESES 10%1,12 MESES 10%1,SALDO4,PRECIO4,DESCUENTO TOTAL4,OPCION 6,ENGANCHE5,MONTO5,SALDO5,PRECIO5,DESCUENTO TOTAL5,PRECIO6,OPCION 7,ENGANCHE6,MONTO6,A FINANCIAR,MONTO TOTAL A PAGAR,TASA,PLAZO,PAGO MENSUAL,ENGANCHE7,MONTO7,SALDO7,PRECIO7,DESCUENTO TOTAL7,TC PREVENTA,TC TERMINADO,PRECIO DE LISTA / PRICE LIST MXN,DESCUENTO / DISCOUNT % MXN,DESCUENTO / DISCOUNT $ MXN,PRECIO FINAL / FINAL PRICE MXN,TC CAD,PRECIO DE LISTA / PRICE LIST CAD,DESCUENTO / DISCOUNT % CAD,DESCUENTO / DISCOUNT $ CAD,PRECIO FINAL / FINAL PRICE CAD,,DESARROLLO / DEVELOPMENT,UNIDAD / UNIT,RECAMARAS / BEDROOMS,M2,SQFT,PRECIO DE LISTA / PRICE LIST,DESCUENTO / DISCOUNT %,DESCUENTO / DISCOUNT $,PRECIO FINAL / FINAL PRICE,,,BAJA ,MEDIO ,ALTA ,FIESTAS ,,,BAJA ,MEDIO ,ALTA,FIESTAS ,,INGRESO BRUTO,30% ADMIN,GASTOS GENERALES,MANTENIMIENTO,PREDIAL,RETORNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_d08fa308607541e89149dea8b11a5b55~mv2.jpg,CEIBA,12,2 RECAMARAS,105,1134," $492,275 ",10%," $49,228 "," $443,048 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,132914,310133,443048,49228,Forma de pago / Payment plan 2,50%,214140,214140,428279,63996,Forma de pago / Payment plan 3,80%,334747,83687,418434,73841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,10830050,1083005,0,9747045,15,746900,10%,74690,672210,,CEIBA,12,2 RECAMARAS,105,1134,"$492,275",10%,"$49,228","$443,048",,,$135,$165,$210,$350,,,,,,,,"$44,049.00","$13,214.70","$3,000.00","$4,410.00",$443.05,5.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_c69c9cf71f0f4b0588c00d3426e41ab7~mv2.jpg,CEIBA,14,1 RECAMARA,58,625," $365,545 ",10%," $36,555 "," $328,991 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,98697,230293,328991,36555,Forma de pago / Payment plan 2,50%,159012,159012,318024,47521,Forma de pago / Payment plan 3,80%,248571,62143,310713,54832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,8041990,804199,0,7237791,15,554620,10%,55462,499158,,CEIBA,14,1 RECAMARA,58,625,"$365,545",10%,"$36,555","$328,991",,,$90,$130,$150,$200,,,,,,,,"$31,416.00","$9,424.80","$3,000.00","$2,436.00",$328.99,4.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_b5b42a962d2649f1aa0b9ed4ea70d512~mv2.jpg,CEIBA,101,2 RECAMARAS,93,999," $475,008 ",10%," $47,501 "," $427,507 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,128252,299255,427507,47501,Forma de pago / Payment plan 2,50%,206629,206629,413257,61751,Forma de pago / Payment plan 3,80%,323006,80751,403757,71251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,10450181,1045018,0,9405163,15,720702,10%,72070,648632,,CEIBA,101,2 RECAMARAS,93,999,"$475,008",10%,"$47,501","$427,507",,,$135,$165,$210,$350,,,,,,,,"$44,049.00","$13,214.70","$3,000.00","$3,906.00",$427.51,5.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_adae9119105c4e15a2a3251cea734b11~mv2.jpg,CEIBA,105,3 RECAMARAS,126,1361," $586,144 ",10%," $58,614 "," $527,530 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,158259,369271,527530,58614,Forma de pago / Payment plan 2,50%,254973,254973,509945,76199,Forma de pago / Payment plan 3,80%,398578,99644,498222,87922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,12895168,1289517,0,11605651,15,889322,10%,88932,800390,,CEIBA,105,3 RECAMARAS,126,1361,"$586,144",10%,"$58,614","$527,530",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$5,292.00",$527.53,7.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_bb3269e0e08747678f5dd7555e5f1498~mv2.jpg,CEIBA,112,3 RECAMARAS,126,1361," $586,144 ",10%," $58,614 "," $527,530 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,158259,369271,527530,58614,Forma de pago / Payment plan 2,50%,254973,254973,509945,76199,Forma de pago / Payment plan 3,80%,398578,99644,498222,87922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,12895168,1289517,0,11605651,15,889322,10%,88932,800390,,CEIBA,112,3 RECAMARAS,126,1361,"$586,144",10%,"$58,614","$527,530",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$5,292.00",$527.53,7.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_02e866b913f0486397a88c81968199c2~mv2.jpg,CEIBA,116,1 RECAMARA,68,727," $381,000 ",10%," $38,100 "," $342,900 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,102870,240030,342900,38100,Forma de pago / Payment plan 2,50%,165735,165735,331470,49530,Forma de pago / Payment plan 3,80%,259080,64770,323850,57150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,8382000,838200,0,7543800,15,578069,10%,57807,520262,,CEIBA,116,1 RECAMARA,68,727,"$381,000",10%,"$38,100","$342,900",,,$90,$130,$150,$200,,,,,,,,"$31,416.00","$9,424.80","$3,000.00","$2,856.00",$342.90,4.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_e17a2bea6e3e4ba79648554dc9447741~mv2.jpg,CEIBA,201,2 RECAMARAS,93,999," $507,922 ",10%," $50,792 "," $457,129 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,137139,319991,457129,50792,Forma de pago / Payment plan 2,50%,220946,220946,441892,66030,Forma de pago / Payment plan 3,80%,345387,86347,431733,76188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,11174276,1117428,0,10056849,15,770640,10%,77064,693576,,CEIBA,201,2 RECAMARAS,93,999,"$507,922",10%,"$50,792","$457,129",,,$135,$165,$210,$350,,,,,,,,"$44,049.00","$13,214.70","$3,000.00","$3,906.00",$457.13,5.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_ee930e3af8cb4621aa1ed8b81bd62987~mv2.jpg,CEIBA,205,3 RECAMARAS,126,1361," $600,929 ",10%," $60,093 "," $540,836 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,162251,378585,540836,60093,Forma de pago / Payment plan 2,50%,261404,261404,522808,78121,Forma de pago / Payment plan 3,80%,408632,102158,510790,90139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,13220438,1322044,0,11898394,15,911754,10%,91175,820579,,CEIBA,205,3 RECAMARAS,126,1361,"$600,929",10%,"$60,093","$540,836",,,$190,$260,$320,$550,,,,,,,,"$67,718.50","$20,315.55","$3,000.00","$5,292.00",$540.84,7.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_8ca9455ca18e4dfba4156525f26720c9~mv2.jpg,CEIBA,210,2 RECAMARAS,93,999," $507,922 ",10%," $50,792 "," $457,129 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,137139,319991,457129,50792,Forma de pago / Payment plan 2,50%,220946,220946,441892,66030,Forma de pago / Payment plan 3,80%,345387,86347,431733,76188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,11174276,1117428,0,10056849,15,770640,10%,77064,693576,,CEIBA,210,2 RECAMARAS,93,999,"$507,922",10%,"$50,792","$457,129",,,$135,$165,$210,$350,,,,,,,,"$44,049.00","$13,214.70","$3,000.00","$3,906.00",$457.13,5.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_483eba6f031e49e5890d2512c30716f6~mv2.jpg,CEIBA,211,1 RECAMARA,58,623," $319,464 ",10%," $31,946 "," $287,518 ",💰 Cotizar,Forma de pago / Payment plan 1,30%,86255,201262,287518,31946,Forma de pago / Payment plan 2,50%,138967,138967,277934,41530,Forma de pago / Payment plan 3,80%,217236,54309,271544,47920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,7028208,702821,0,6325387,15,484704,10%,48470,436234,,CEIBA,211,1 RECAMARA,58,623,"$319,464",10%,"$31,946","$287,518",,,$90,$130,$150,$200,,,,,,,,"$31,416.00","$9,424.80","$3,000.00","$2,436.00",$287.52,5.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
